10.9,11.929,1.4707,9.6821,5.7427,0.65396,4.7912
11,12.013,1.474,9.767,5.7744,0.65358,4.8271
11.1,12.097,1.4774,9.8525,5.8062,0.6532,4.8632
11.2,12.181,1.4807,9.9385,5.8382,0.65282,4.8996
11.3,12.266,1.484,10.025,5.8704,0.65244,4.9361
11.4,12.352,1.4873,10.112,5.9028,0.65205,4.9729
11.5,12.437,1.4906,10.2,5.9353,0.65166,5.0099
11.6,12.524,1.4938,10.288,5.9681,0.65127,5.0471
11.7,12.611,1.4971,10.376,6.001,0.65087,5.0845
11.8,12.698,1.5003,10.465,6.0341,0.65047,5.1222
11.9,12.786,1.5036,10.555,6.0674,0.65007,5.16
12,12.874,1.5068,10.644,6.1008,0.64967,5.1981
12.1,12.962,1.51,10.735,6.1344,0.64927,5.2363
12.2,13.052,1.5132,10.826,6.1682,0.64887,5.2748
12.3,13.141,1.5163,10.918,6.2022,0.64846,5.3134
12.4,13.231,1.5195,11.01,6.2363,0.64805,5.3523
12.5,13.322,1.5226,11.102,6.2706,0.64764,5.3913
12.6,13.413,1.5258,11.195,6.3051,0.64723,5.4306
12.7,13.504,1.5289,11.289,6.3397,0.64682,5.47
12.8,13.596,1.532,11.383,6.3745,0.6464,5.5096
12.9,13.688,1.5351,11.478,6.4095,0.64598,5.5494
13,13.781,1.5382,11.573,6.4446,0.64556,5.5894
13.1,13.874,1.5412,11.669,6.4799,0.64514,5.6296
13.2,13.968,1.5443,11.766,6.5154,0.64472,5.6699
13.3,14.062,1.5473,11.862,6.5511,0.64429,5.7105
13.4,14.156,1.5503,11.96,6.5869,0.64386,5.7512
13.5,14.251,1.5533,12.058,6.6229,0.64343,5.7921
13.6,14.347,1.5563,12.156,6.659,0.643,5.8332
13.7,14.442,1.5593,12.255,6.6953,0.64257,5.8744
13.8,14.539,1.5623,12.355,6.7317,0.64213,5.9159
13.9,14.635,1.5653,12.455,6.7683,0.6417,5.958
14,14.732,1.5682,12.555,6.8051,0.64126,6.0009
14.1,14.83,1.5711,12.656,6.842,0.64082,6.0441
14.2,14.928,1.574,12.761,6.8791,0.64038,6.0877
14.3,15.026,1.577,12.866,6.9163,0.63993,6.1317
14.4,15.125,1.5798,12.972,6.9537,0.63949,6.1761
14.5,15.224,1.5828,13.079,6.9912,0.63904,6.2209
14.6,15.323,1.5857,13.188,7.0288,0.63859,6.2662
14.7,15.425,1.5886,13.297,7.0669,0.63814,6.3119
14.8,15.531,1.5915,13.408,7.1061,0.63768,6.3581
14.9,15.639,1.5944,13.521,7.1459,0.63725,6.4047
15,15.748,1.5973,13.634,7.1866,0.63709,6.4518
15.1,15.859,1.6015,13.749,7.2281,0.63714,6.4994
15.2,15.971,1.6065,13.865,7.2705,0.63786,6.5474
15.3,16.085,1.612,13.983,7.3151,0.63908,6.5965
15.4,16.201,1.6182,14.102,7.3617,0.64101,6.6477
15.5,16.321,1.6257,14.223,7.4102,0.64358,6.7004
15.6,16.447,1.6341,14.35,7.4609,0.64682,6.7549
15.7,16.576,1.6435,14.478,7.5139,0.65073,6.8112
15.8,16.708,1.6538,14.61,7.5692,0.65527,6.8695
15.9,16.842,1.6652,14.744,7.6263,0.66046,6.9295
16,16.98,1.6776,14.881,7.6859,0.66631,6.9917
16.1,17.121,1.691,15.021,7.748,0.67281,7.056
16.2,17.265,1.7054,15.164,7.8127,0.67997,7.1227
16.3,17.414,1.7208,15.31,7.8802,0.68773,7.1916
16.4,17.566,1.7372,15.46,7.9494,0.69612,7.2621
16.5,17.723,1.7546,15.613,8.0208,0.70513,7.3347
16.6,17.883,1.773,15.769,8.0946,0.71478,7.4094
16.7,18.046,1.7923,15.928,8.1709,0.72507,7.4863
16.8,18.214,1.8126,16.09,8.2495,0.73596,7.5652
16.9,18.384,1.8339,16.255,8.3302,0.74743,7.6458
17,18.559,1.8561,16.424,8.413,0.75951,7.7284
17.1,18.737,1.8794,16.596,8.498,0.7722,7.8128
17.2,18.919,1.9037,16.771,8.5851,0.7855,7.8992
17.3,19.105,1.9289,16.95,8.6742,0.79941,7.9874
17.4,19.294,1.9551,17.133,8.7655,0.81386,8.0774
17.5,19.488,1.9824,17.32,8.8583,0.8289,8.1692
17.6,19.684,2.0106,17.511,8.9532,0.84452,8.2627
17.7,19.885,2.0398,17.706,9.0501,0.86074,8.3581
17.8,20.089,2.07,17.904,9.1491,0.87754,8.4552
17.9,20.297,2.1012,18.104,9.2501,0.89491,8.5545
18,20.508,2.1333,18.307,9.3532,0.91284,8.6555
18.1,20.722,2.1663,18.513,9.4583,0.93134,8.7582
18.2,20.941,2.2002,18.724,9.5655,0.95039,8.8627
18.3,21.162,2.2351,18.937,9.6747,0.96999,8.9688
18.4,21.388,2.271,19.154,9.7858,0.99015,9.0767
18.5,21.617,2.3078,19.375,9.8983,1.0108,9.1862
18.6,21.85,2.3456,19.599,10.013,1.0321,9.2973
18.7,22.086,2.3844,19.826,10.129,1.0539,9.4101
18.8,22.326,2.4241,20.057,10.248,1.0762,9.5245
18.9,22.57,2.4648,20.292,10.368,1.099,9.6404
19,22.817,2.5064,20.529,10.49,1.1224,9.7579
19.1,23.068,2.5491,20.77,10.614,1.1463,9.877
19.2,23.323,2.5927,21.013,10.74,1.1707,9.9975
19.3,23.581,2.6372,21.26,10.868,1.1956,10.12
19.4,23.843,2.6827,21.51,10.998,1.221,10.243
19.5,24.108,2.7291,21.763,11.129,1.2469,10.369
19.6,24.377,2.7763,22.02,11.261,1.2734,10.496
19.7,24.648,2.8244,22.279,11.396,1.3003,10.625
19.8,24.924,2.8735,22.542,11.533,1.3277,10.755
19.9,25.202,2.9236,22.808,11.671,1.3556,10.887
20,25.484,2.9745,23.077,11.811,1.384,11.02
20.1,25.77,3.0264,23.349,11.953,1.4129,11.155
20.2,26.059,3.0793,23.625,12.096,1.4424,11.291
20.3,26.352,3.1331,23.903,12.242,1.4722,11.429
20.4,26.648,3.1878,24.185,12.389,1.5026,11.568
20.5,26.948,3.2435,24.47,12.537,1.5335,11.708
20.6,27.251,3.3001,24.757,12.687,1.5648,11.85
20.7,27.558,3.3576,25.048,12.838,1.5965,11.993
20.8,27.869,3.4161,25.342,12.992,1.6288,12.138
20.9,28.182,3.4755,25.639,13.147,1.6615,12.284
21,28.5,3.5356,25.939,13.303,1.6946,12.432
21.1,28.821,3.5966,26.241,13.462,1.7282,12.581
21.2,29.145,3.6586,26.547,13.622,1.7623,12.731
21.3,29.473,3.7215,26.857,13.784,1.7968,12.883
21.4,29.803,3.7852,27.17,13.947,1.8317,13.036
21.5,30.137,3.8499,27.486,14.112,1.8671,13.191
21.6,30.474,3.9155,27.805,14.278,1.9029,13.347
21.7,30.815,3.982,28.127,14.446,1.9391,13.504
21.8,31.159,4.0495,28.453,14.615,1.9757,13.663
21.9,31.506,4.1178,28.781,14.786,2.0128,13.823
22,31.857,4.1871,29.112,14.958,2.0503,13.984
22.1,32.211,4.2572,29.446,15.132,2.0882,14.147
22.2,32.569,4.3283,29.784,15.308,2.1266,14.31
22.3,32.929,4.4003,30.124,15.484,2.1654,14.476
22.4,33.294,4.4731,30.467,15.663,2.2046,14.642
22.5,33.662,4.5468,30.813,15.843,2.2442,14.81
22.6,34.033,4.6214,31.162,16.024,2.2843,14.979
22.7,34.407,4.6968,31.514,16.206,2.3247,15.149
22.8,34.785,4.7732,31.869,16.391,2.3656,15.32
22.9,35.166,4.8504,32.227,16.576,2.4068,15.493
23,35.551,4.9285,32.588,16.763,2.4484,15.667
23.1,35.939,5.0075,32.952,16.951,2.4905,15.842
23.2,36.329,5.0873,33.318,17.141,2.5329,16.019
23.3,36.723,5.168,33.688,17.332,2.5757,16.196
23.4,37.12,5.2496,34.06,17.524,2.6188,16.375
23.5,37.52,5.3321,34.435,17.718,2.6624,16.555
23.6,37.923,5.4154,34.813,17.913,2.7063,16.736
23.7,38.33,5.4996,35.194,18.109,2.7506,16.919
