Time (min),wt,mko,tko
31.8,24.372,6.0452,34.355
31.9,24.589,6.1319,34.637
32,24.803,6.2179,34.916
32.1,25.016,6.3037,35.192
32.2,25.226,6.3892,35.464
32.3,25.434,6.4742,35.732
32.4,25.641,6.5589,35.996
32.5,25.844,6.643,36.255
32.6,26.046,6.7268,36.511
32.7,26.245,6.8102,36.764
32.8,26.441,6.8933,37.018
32.9,26.635,6.9759,37.269
33,26.831,7.0583,37.518
33.1,27.025,7.1403,37.763
33.2,27.217,7.2219,38.005
33.3,27.407,7.3033,38.243
33.4,27.595,7.384,38.479
33.5,27.782,7.4643,38.711
33.6,27.967,7.5443,38.94
33.7,28.15,7.6239,39.165
33.8,28.331,7.7033,39.387
33.9,28.51,7.7822,39.606
34,28.688,7.8609,39.823
34.1,28.863,7.9393,40.039
34.2,29.038,8.0173,40.253
34.3,29.212,8.0951,40.464
34.4,29.385,8.1725,40.672
34.5,29.556,8.2497,40.877
34.6,29.725,8.3266,41.081
34.7,29.893,8.4032,41.281
34.8,30.06,8.4796,41.479
34.9,30.225,8.5556,41.675
35,30.389,8.631,41.868
35.1,30.552,8.7062,42.059
35.2,30.713,8.7811,42.248
35.3,30.873,8.8557,42.434
35.4,31.032,8.93,42.619
35.5,31.189,9.004,42.801
35.6,31.345,9.0777,42.981
35.7,31.5,9.1511,43.158
35.8,31.654,9.2243,43.334
35.9,31.806,9.2972,43.508
36,31.958,9.3698,43.679
36.1,32.108,9.4421,43.849
36.2,32.257,9.5142,44.016
36.3,32.404,9.586,44.182
36.4,32.551,9.6575,44.345
36.5,32.697,9.7286,44.507
36.6,32.841,9.7995,44.666
36.7,32.984,9.8701,44.823
36.8,33.126,9.9404,44.978
36.9,33.267,10.01,45.131
37,33.406,10.08,45.282
37.1,33.545,10.15,45.432
37.2,33.682,10.219,45.579
37.3,33.819,10.288,45.725
37.4,33.954,10.356,45.868
37.5,34.088,10.425,46.01
37.6,34.221,10.493,46.15
37.7,34.353,10.561,46.288
37.8,34.484,10.628,46.424
37.9,34.614,10.696,46.558
38,34.742,10.763,46.69
38.1,34.869,10.83,46.821
38.2,34.996,10.896,46.949
38.3,35.121,10.963,47.076
38.4,35.245,11.029,47.201
38.5,35.368,11.094,47.324
38.6,35.49,11.16,47.446
38.7,35.612,11.225,47.565
38.8,35.732,11.29,47.683
38.9,35.851,11.355,47.799
39,35.969,11.42,47.914
39.1,36.086,11.484,48.026
39.2,36.202,11.548,48.137
39.3,36.317,11.612,48.246
39.4,36.431,11.676,48.353
39.5,36.545,11.739,48.459
39.6,36.657,11.802,48.563
39.7,36.768,11.865,48.665
39.8,36.879,11.928,48.766
39.9,36.988,11.99,48.865
40,37.097,12.052,48.963
40.1,37.204,12.114,49.058
40.2,37.311,12.176,49.152
40.3,37.416,12.238,49.245
40.4,37.521,12.299,49.336
40.5,37.625,12.36,49.425
40.6,37.727,12.421,49.513
40.7,37.829,12.482,49.599
40.8,37.93,12.542,49.684
40.9,38.031,12.602,49.767
41,38.13,12.662,49.849
41.1,38.228,12.722,49.929
41.2,38.326,12.782,50.008
41.3,38.423,12.841,50.085
41.4,38.518,12.9,50.161
41.5,38.613,12.959,50.235
41.6,38.708,13.018,50.308
41.7,38.801,13.076,50.379
41.8,38.893,13.135,50.449
41.9,38.985,13.193,50.517
42,39.076,13.251,50.584
42.1,39.166,13.308,50.649
42.2,39.255,13.366,50.713
42.3,39.344,13.423,50.776
42.4,39.431,13.48,50.837
42.5,39.518,13.537,50.897
42.6,39.604,13.594,50.956
42.7,39.689,13.651,51.013
42.8,39.774,13.707,51.069
42.9,39.857,13.763,51.124
43,39.94,13.819,51.177
43.1,40.022,13.875,51.229
43.2,40.104,13.931,51.279
43.3,40.184,13.986,51.329
43.4,40.264,14.041,51.377
43.5,40.343,14.096,51.424
43.6,40.422,14.151,51.469
43.7,40.499,14.206,51.513
43.8,40.576,14.261,51.556
43.9,40.652,14.315,51.598
44,40.728,14.369,51.639
44.1,40.803,14.423,51.678
44.2,40.877,14.477,51.716
44.3,40.95,14.531,51.753
44.4,41.023,14.585,51.788
44.5,41.095,14.638,51.823
44.6,41.167,14.691,51.856
44.7,41.237,14.744,51.888
44.8,41.307,14.797,51.919
44.9,41.376,14.85,51.949
45,41.445,14.903,51.977
45.1,41.513,14.955,52.004
45.2,41.58,15.008,52.031
45.3,41.647,15.06,52.056
45.4,41.713,15.112,52.08
45.5,41.778,15.164,52.103
45.6,41.843,15.215,52.125
45.7,41.907,15.267,52.146
45.8,41.97,15.319,52.165
45.9,42.033,15.37,52.184
46,42.095,15.421,52.202
46.1,42.157,15.472,52.218
46.2,42.218,15.523,52.234
46.3,42.278,15.574,52.248
46.4,42.338,15.625,52.262
46.5,42.397,15.675,52.274
46.6,42.456,15.725,52.286
46.7,42.514,15.775,52.296
46.8,42.572,15.825,52.305
46.9,42.628,15.875,52.313
47,42.685,15.924,52.32
47.1,42.74,15.974,52.326
47.2,42.795,16.023,52.332
47.3,42.85,16.072,52.336
47.4,42.904,16.121,52.339
47.5,42.957,16.17,52.341
47.6,43.01,16.219,52.343
47.7,43.062,16.267,52.343
47.8,43.114,16.316,52.342
47.9,43.165,16.364,52.341
48,43.216,16.413,52.339
48.1,43.266,16.461,52.335
48.2,43.315,16.509,52.331
48.3,43.364,16.556,52.326
48.4,43.413,16.604,52.32
48.5,43.461,16.652,52.313
48.6,43.509,16.699,52.305
48.7,43.556,16.747,52.297
48.8,43.602,16.794,52.287
48.9,43.648,16.841,52.277
49,43.694,16.888,52.266
49.1,43.739,16.935,52.254
49.2,43.784,16.982,52.241
49.3,43.828,17.028,52.227
49.4,43.871,17.075,52.212
49.5,43.915,17.121,52.196
49.6,43.957,17.168,52.18
