Time (min),LPS,CpG,PIC
350,62.831,35.411,49.392
351,62.747,35.41,49.375
352,62.663,35.408,49.357
353,62.579,35.406,49.339
354,62.496,35.404,49.321
355,62.412,35.402,49.303
356,62.328,35.401,49.285
357,62.244,35.399,49.267
358,62.16,35.397,49.25
359,62.077,35.396,49.232
360,61.993,35.394,49.214
361,61.909,35.393,49.196
362,61.841,35.392,49.178
363,61.783,35.391,49.16
364,61.725,35.39,49.142
365,61.667,35.389,49.124
366,61.609,35.388,49.102
367,61.552,35.387,49.079
368,61.494,35.386,49.057
369,61.436,35.384,49.035
370,61.378,35.383,49.013
371,61.32,35.382,48.99
372,61.262,35.381,48.968
373,61.204,35.38,48.946
374,61.146,35.379,48.924
375,61.088,35.378,48.901
376,61.03,35.377,48.879
377,60.972,35.375,48.857
378,60.914,35.374,48.834
379,60.856,35.373,48.812
380,60.798,35.372,48.789
381,60.74,35.371,48.764
382,60.683,35.37,48.739
383,60.636,35.369,48.714
384,60.602,35.368,48.689
385,60.569,35.367,48.665
386,60.535,35.365,48.64
387,60.502,35.365,48.615
388,60.468,35.364,48.59
389,60.435,35.364,48.565
390,60.401,35.363,48.541
391,60.367,35.363,48.516
392,60.334,35.363,48.491
393,60.3,35.362,48.466
394,60.267,35.362,48.441
395,60.233,35.361,48.417
396,60.2,35.361,48.392
397,60.166,35.361,48.368
398,60.133,35.36,48.343
399,60.099,35.36,48.319
400,60.065,35.359,48.294
401,60.032,35.359,48.27
402,59.998,35.359,48.245
403,59.965,35.358,48.221
404,59.938,35.358,48.196
405,59.925,35.357,48.172
406,59.912,35.357,48.147
407,59.9,35.356,48.122
408,59.887,35.356,48.098
409,59.874,35.356,48.073
410,59.862,35.355,48.049
411,59.849,35.355,48.024
412,59.837,35.354,48
413,59.824,35.354,47.976
414,59.811,35.354,47.954
415,59.799,35.353,47.932
416,59.786,35.353,47.909
417,59.773,35.353,47.887
418,59.761,35.352,47.865
419,59.748,35.352,47.842
420,59.736,35.351,47.82
421,59.723,35.351,47.798
422,59.71,35.351,47.775
423,59.698,35.35,47.753
424,59.685,35.35,47.731
425,59.675,35.35,47.708
426,59.678,35.349,47.686
427,59.682,35.349,47.664
428,59.686,35.348,47.641
429,59.69,35.348,47.619
430,59.693,35.348,47.597
431,59.697,35.347,47.574
432,59.701,35.347,47.554
433,59.705,35.347,47.533
434,59.708,35.346,47.512
435,59.712,35.346,47.492
436,59.716,35.345,47.471
437,59.72,35.345,47.451
438,59.723,35.345,47.43
439,59.727,35.344,47.409
440,59.731,35.344,47.389
441,59.735,35.344,47.368
442,59.738,35.343,47.348
443,59.742,35.343,47.327
444,59.746,35.342,47.306
445,59.75,35.341,47.286
446,59.753,35.34,47.265
447,59.769,35.34,47.245
448,59.785,35.339,47.224
449,59.802,35.338,47.203
450,59.818,35.337,47.183
451,59.834,35.336,47.162
452,59.85,35.336,47.141
453,59.866,35.335,47.12
454,59.882,35.334,47.1
455,59.899,35.333,47.079
456,59.915,35.332,47.058
457,59.931,35.331,47.037
458,59.947,35.331,47.017
459,59.963,35.33,46.996
460,59.979,35.329,46.975
461,59.995,35.328,46.954
462,60.012,35.327,46.933
463,60.028,35.326,46.913
464,60.044,35.326,46.892
465,60.06,35.325,46.871
466,60.076,35.324,46.85
467,60.092,35.323,46.83
468,60.116,35.322,46.809
469,60.141,35.322,46.786
470,60.166,35.321,46.764
471,60.19,35.32,46.742
472,60.215,35.319,46.72
473,60.24,35.318,46.698
474,60.265,35.317,46.675
475,60.29,35.317,46.653
476,60.315,35.316,46.631
477,60.34,35.315,46.609
478,60.365,35.314,46.587
479,60.39,35.313,46.565
480,60.415,35.313,46.542
