Time (min),LPS,CpG,PIC
313,0.097184,0.28077,0.052411
314,0.09679,0.28077,0.052349
315,0.096397,0.28077,0.052287
316,0.096004,0.28077,0.052225
317,0.09561,0.28077,0.052163
318,0.095217,0.28076,0.052101
319,0.094824,0.28076,0.052039
320,0.09443,0.28076,0.051977
321,0.094037,0.28076,0.051915
322,0.093644,0.28075,0.051859
323,0.09325,0.28075,0.051805
324,0.092857,0.28075,0.051751
325,0.092464,0.28075,0.051696
326,0.092073,0.28074,0.051642
327,0.091736,0.28074,0.051587
328,0.091398,0.28074,0.051533
329,0.091061,0.28074,0.051479
330,0.090724,0.28073,0.051424
331,0.090386,0.28073,0.05137
332,0.090049,0.28072,0.051315
333,0.089712,0.28071,0.051261
334,0.089374,0.2807,0.051207
335,0.089037,0.28069,0.051152
336,0.088699,0.28068,0.051101
337,0.088362,0.28067,0.051059
338,0.088025,0.28066,0.051017
339,0.087687,0.28065,0.050974
340,0.08735,0.28064,0.050932
341,0.087064,0.28063,0.05089
342,0.086792,0.28062,0.050848
343,0.086521,0.28061,0.050806
344,0.086249,0.2806,0.050764
345,0.085977,0.28059,0.050721
346,0.085706,0.28058,0.050679
347,0.085434,0.28057,0.050637
348,0.085162,0.28056,0.050595
349,0.08489,0.28055,0.050553
350,0.084619,0.28055,0.050511
351,0.084347,0.28054,0.050474
352,0.084075,0.28053,0.050439
353,0.083803,0.28052,0.050405
354,0.083532,0.28051,0.05037
355,0.08326,0.2805,0.050336
356,0.082988,0.28049,0.050301
357,0.082717,0.28048,0.050267
358,0.082445,0.28047,0.050232
359,0.082173,0.28046,0.050198
360,0.081901,0.28045,0.050163
361,0.08163,0.28044,0.050129
362,0.081404,0.28043,0.050094
363,0.081205,0.28042,0.05006
364,0.081007,0.28041,0.050025
365,0.080808,0.28041,0.049991
366,0.08061,0.2804,0.049957
367,0.080411,0.28039,0.049922
368,0.080213,0.28038,0.049887
369,0.080014,0.28037,0.049853
370,0.079816,0.28036,0.049818
371,0.079617,0.28035,0.049784
372,0.079419,0.28034,0.049749
373,0.07922,0.28033,0.049715
374,0.079022,0.28032,0.04968
375,0.078824,0.28032,0.049646
376,0.078625,0.28031,0.049611
377,0.078427,0.2803,0.049577
378,0.078228,0.28029,0.049542
379,0.07803,0.28028,0.049508
380,0.077831,0.28027,0.049471
381,0.077633,0.28026,0.049431
382,0.077434,0.28025,0.049392
383,0.077267,0.28024,0.049352
384,0.077135,0.28023,0.049312
385,0.077003,0.28022,0.049272
386,0.076872,0.28022,0.049233
387,0.07674,0.28021,0.049193
388,0.076608,0.2802,0.049153
389,0.076476,0.2802,0.049114
390,0.076345,0.28019,0.049074
391,0.076213,0.28019,0.049034
392,0.076081,0.28019,0.048995
393,0.07595,0.28018,0.048955
394,0.075818,0.28018,0.048915
395,0.075686,0.28017,0.048871
396,0.075555,0.28017,0.048826
397,0.075423,0.28016,0.048781
398,0.075291,0.28016,0.048736
399,0.075159,0.28015,0.048691
400,0.075028,0.28015,0.048646
401,0.074896,0.28014,0.0486
402,0.074764,0.28014,0.048555
403,0.074633,0.28013,0.04851
404,0.074519,0.28013,0.048465
405,0.074446,0.28013,0.04842
406,0.074373,0.28012,0.048375
407,0.0743,0.28012,0.04833
408,0.074227,0.28011,0.048285
409,0.074155,0.28011,0.04824
410,0.074082,0.2801,0.048195
411,0.074009,0.2801,0.04815
412,0.073936,0.28009,0.048105
413,0.073863,0.28009,0.048059
414,0.07379,0.28008,0.048011
415,0.073718,0.28008,0.047964
416,0.073645,0.28008,0.047917
417,0.073572,0.28008,0.04787
418,0.073499,0.28007,0.047823
419,0.073426,0.28007,0.047775
420,0.073353,0.28007,0.047728
421,0.073281,0.28007,0.047681
422,0.073208,0.28007,0.047634
423,0.073135,0.28007,0.047586
424,0.073062,0.28006,0.047539
425,0.072996,0.28006,0.047492
426,0.072972,0.28006,0.047445
427,0.072948,0.28006,0.047398
428,0.072924,0.28006,0.04735
429,0.072901,0.28006,0.047303
430,0.072877,0.28005,0.047256
431,0.072853,0.28005,0.047209
432,0.072829,0.28005,0.047164
433,0.072805,0.28005,0.047119
434,0.072781,0.28005,0.047075
435,0.072757,0.28005,0.04703
436,0.072734,0.28004,0.046985
437,0.07271,0.28004,0.04694
438,0.072686,0.28004,0.046896
439,0.072662,0.28004,0.046851
440,0.072638,0.28004,0.046806
441,0.072614,0.28003,0.046761
442,0.07259,0.28003,0.046717
443,0.072567,0.28003,0.046672
444,0.072543,0.28003,0.046627
445,0.072519,0.28002,0.046582
446,0.072495,0.28002,0.046537
447,0.072509,0.28002,0.046493
448,0.072523,0.28002,0.046448
449,0.072537,0.28001,0.046403
450,0.072552,0.28001,0.046361
451,0.072566,0.28001,0.04632
452,0.072581,0.28,0.046278
453,0.072595,0.28,0.046237
454,0.07261,0.28,0.046196
455,0.072624,0.27999,0.046155
456,0.072639,0.27999,0.046114
457,0.072653,0.27999,0.046072
458,0.072668,0.27998,0.046031
459,0.072682,0.27998,0.04599
460,0.072697,0.27998,0.045949
461,0.072711,0.27997,0.045908
462,0.072726,0.27997,0.045866
463,0.07274,0.27997,0.045825
464,0.072755,0.27997,0.045784
465,0.072769,0.27996,0.045743
466,0.072783,0.27996,0.045702
467,0.072798,0.27996,0.045661
468,0.072832,0.27995,0.04562
469,0.072871,0.27995,0.04558
470,0.07291,0.27995,0.045541
471,0.072948,0.27994,0.045501
472,0.072987,0.27994,0.045461
473,0.073026,0.27994,0.045422
474,0.073064,0.27993,0.045382
475,0.073103,0.27993,0.045343
476,0.073142,0.27993,0.045303
477,0.073181,0.27992,0.045263
478,0.073219,0.27992,0.045224
479,0.073258,0.27992,0.045184
480,0.073297,0.27991,0.045145
