Time (min),wt,mko,tko
46.7,91.75,9.0936,68.831
46.8,92.258,9.1949,69.207
46.9,92.769,9.2971,69.584
47,93.282,9.4003,69.963
47.1,93.797,9.5043,70.343
47.2,94.313,9.6093,70.724
47.3,94.831,9.7152,71.107
47.4,95.351,9.822,71.491
47.5,95.873,9.9297,71.876
47.6,96.397,10.038,72.263
47.7,96.922,10.148,72.651
47.8,97.45,10.258,73.041
47.9,97.979,10.37,73.432
48,98.511,10.482,73.824
48.1,99.044,10.596,74.217
48.2,99.579,10.71,74.612
48.3,100.12,10.825,75.009
48.4,100.65,10.941,75.406
48.5,101.19,11.058,75.805
48.6,101.74,11.176,76.206
48.7,102.28,11.295,76.607
48.8,102.83,11.415,77.01
48.9,103.38,11.536,77.415
49,103.93,11.658,77.821
49.1,104.48,11.78,78.228
49.2,105.03,11.904,78.636
49.3,105.59,12.029,79.046
49.4,106.14,12.154,79.458
49.5,106.7,12.281,79.87
49.6,107.27,12.409,80.284
49.7,107.83,12.537,80.7
49.8,108.39,12.667,81.116
49.9,108.96,12.797,81.535
50,109.53,12.928,81.954
50.1,110.1,13.061,82.375
50.2,110.67,13.194,82.797
50.3,111.25,13.329,83.221
50.4,111.82,13.464,83.646
50.5,112.4,13.6,84.073
50.6,112.98,13.738,84.5
50.7,113.56,13.876,84.93
50.8,114.15,14.015,85.36
50.9,114.73,14.156,85.792
51,115.32,14.297,86.226
51.1,115.91,14.439,86.661
51.2,116.5,14.582,87.097
51.3,117.1,14.727,87.534
51.4,117.69,14.872,87.973
51.5,118.29,15.018,88.414
51.6,118.89,15.166,88.856
51.7,119.49,15.314,89.299
51.8,120.09,15.463,89.743
51.9,120.7,15.613,90.189
52,121.31,15.765,90.637
52.1,121.92,15.917,91.085
52.2,122.53,16.07,91.536
52.3,123.14,16.225,91.987
52.4,123.75,16.38,92.44
52.5,124.37,16.536,92.895
52.6,124.99,16.694,93.35
52.7,125.61,16.852,93.808
52.8,126.23,17.011,94.266
52.9,126.86,17.172,94.726
53,127.48,17.333,95.188
53.1,128.11,17.496,95.65
53.2,128.74,17.659,96.115
53.3,129.37,17.824,96.58
53.4,130.01,17.989,97.047
53.5,130.64,18.156,97.516
53.6,131.28,18.324,97.986
53.7,131.92,18.492,98.457
53.8,132.56,18.662,98.93
53.9,133.21,18.833,99.404
54,133.85,19.005,99.879
54.1,134.5,19.177,100.36
54.2,135.15,19.351,100.83
54.3,135.8,19.526,101.31
54.4,136.46,19.702,101.8
54.5,137.11,19.879,102.28
54.6,137.77,20.057,102.76
54.7,138.43,20.236,103.25
54.8,139.09,20.416,103.73
54.9,139.75,20.597,104.22
55,140.42,20.78,104.71
55.1,141.09,20.963,105.2
55.2,141.75,21.147,105.7
55.3,142.43,21.333,106.19
55.4,143.1,21.519,106.69
55.5,143.77,21.707,107.18
55.6,144.45,21.895,107.68
55.7,145.13,22.085,108.18
55.8,145.81,22.275,108.68
55.9,146.49,22.467,109.19
56,147.18,22.66,109.69
56.1,147.87,22.854,110.19
56.2,148.56,23.049,110.7
56.3,149.25,23.245,111.21
56.4,149.94,23.442,111.72
56.5,150.63,23.64,112.23
56.6,151.33,23.839,112.74
56.7,152.03,24.039,113.26
56.8,152.73,24.241,113.77
56.9,153.43,24.443,114.29
57,154.14,24.647,114.81
57.1,154.84,24.851,115.33
57.2,155.55,25.057,115.85
57.3,156.26,25.264,116.37
57.4,156.98,25.471,116.9
57.5,157.69,25.68,117.42
57.6,158.41,25.89,117.95
57.7,159.12,26.101,118.48
57.8,159.85,26.313,119.01
57.9,160.57,26.526,119.54
58,161.29,26.741,120.07
58.1,162.02,26.956,120.61
58.2,162.75,27.172,121.14
58.3,163.48,27.39,121.68
58.4,164.21,27.608,122.22
58.5,164.94,27.828,122.76
58.6,165.68,28.049,123.3
58.7,166.42,28.27,123.84
58.8,167.16,28.493,124.38
58.9,167.9,28.717,124.93
59,168.64,28.942,125.48
59.1,169.39,29.168,126.02
59.2,170.14,29.395,126.57
59.3,170.89,29.623,127.12
59.4,171.64,29.853,127.68
59.5,172.39,30.083,128.23
59.6,173.15,30.314,128.78
59.7,173.91,30.547,129.34
59.8,174.67,30.78,129.9
59.9,175.43,31.015,130.46
60,176.19,31.251,131.02
60.1,176.96,31.487,131.58
60.2,177.73,31.725,132.14
60.3,178.49,31.964,132.71
60.4,179.27,32.204,133.27
60.5,180.04,32.445,133.84
60.6,180.81,32.687,134.41
60.7,181.59,32.93,134.98
60.8,182.37,33.174,135.55
60.9,183.15,33.419,136.12
61,183.93,33.665,136.7
61.1,184.72,33.913,137.27
61.2,185.5,34.161,137.85
61.3,186.29,34.41,138.42
61.4,187.08,34.66,139
61.5,187.87,34.911,139.58
61.6,188.66,35.163,140.17
61.7,189.45,35.416,140.75
61.8,190.25,35.67,141.33
61.9,191.05,35.925,141.92
62,191.85,36.18,142.5
62.1,192.65,36.437,143.09
62.2,193.45,36.695,143.68
62.3,194.25,36.953,144.27
62.4,195.06,37.212,144.86
62.5,195.86,37.473,145.45
62.6,196.67,37.734,146.04
62.7,197.48,37.996,146.64
62.8,198.29,38.258,147.23
62.9,199.11,38.522,147.83
63,199.92,38.787,148.43
63.1,200.74,39.052,149.03
63.2,201.55,39.318,149.63
63.3,202.37,39.585,150.23
63.4,203.19,39.852,150.83
63.5,204.01,40.121,151.43
63.6,204.83,40.39,152.04
63.7,205.66,40.66,152.64
63.8,206.48,40.931,153.25
63.9,207.31,41.202,153.85
64,208.14,41.474,154.46
64.1,208.96,41.747,155.07
64.2,209.79,42.021,155.68
64.3,210.62,42.295,156.29
64.4,211.46,42.57,156.9
64.5,212.29,42.846,157.51
64.6,213.12,43.123,158.13
64.7,213.96,43.4,158.74
64.8,214.8,43.677,159.36
64.9,215.63,43.956,159.97
65,216.47,44.235,160.59
65.1,217.31,44.515,161.21
65.2,218.15,44.795,161.82
65.3,218.99,45.076,162.44
65.4,219.84,45.358,163.06
65.5,220.68,45.64,163.69
65.6,221.52,45.923,164.31
65.7,222.37,46.207,164.93
65.8,223.22,46.491,165.55
65.9,224.06,46.776,166.18
66,224.91,47.061,166.8
66.1,225.76,47.347,167.43
66.2,226.61,47.633,168.06
66.3,227.46,47.92,168.69
66.4,228.31,48.208,169.31
66.5,229.16,48.496,169.94
66.6,230.02,48.785,170.57
66.7,230.87,49.074,171.2
66.8,231.73,49.364,171.84
66.9,232.58,49.654,172.47
67,233.44,49.945,173.1
