"","x","wt","mko","tko"
"37",21.6,0.860112515912705,0.289035334370014,0.756514631380217
"38",22.2,0.86245257265671,0.316457257360718,0.759224262194865
"39",22.8,0.864744780455632,0.343998417324326,0.761900108767114
"40",23.4,0.86699021796264,0.371469296453011,0.764542547019861
"41",24,0.869189940392472,0.398696921389811,0.767151952299368
"42",24.6,0.871344979836238,0.425527155349235,0.769728699180746
"43",25.2,0.873456345589659,0.45182600603204,0.77227316128342
"44",25.8,0.875525024492891,0.477480055470902,0.774785711096239
"45",26.4,0.877551981280257,0.502396149828702,0.777266719811904
"46",27,0.879538158938317,0.526500501727644,0.779716557170405
"47",27.6,0.881484479070849,0.54973735788465,0.782135591311146
"48",28.2,0.88339184226941,0.572067374353235,0.784524188633446
"49",28.8,0.885261128488267,0.593465824259319,0.78688271366513
"50",29.4,0.887093197422592,0.613920741892931,0.789211528938893
"51",30,0.888888888888889,0.633431085043988,0.791510994876174
"52",30.6,0.886851041504499,0.646664852907619,0.781332646522795
"53",31.2,0.884766326319513,0.659435176010576,0.770580421993201
"54",31.8,0.882633515047107,0.671748883460455,0.759224262194865
"55",32.4,0.88045134643716,0.68361416927322,0.747233699203145
"56",33,0.878218525566241,0.695040364847657,0.734578145128797
"57",33.6,0.87593372313319,0.706037732083273,0.721227251645601
"58",34.2,0.873595574762846,0.716617276782641,0.70715135014515
"59",34.8,0.871202680320754,0.726790581648325,0.692321982660676
"60",35.4,0.868753603241937,0.736569657941182,0.676712533418173
"61",36,0.866246869877148,0.745966814697968,0.660298969952558
"62",36.6,0.863680968860371,0.75499454429911,0.643060700958211
"63",37.2,0.861054350501644,0.763665423120881,0.624981555188815
"64",37.8,0.858365426209734,0.771992025989735,0.606050881526799
"65",38.4,0.855612567949537,0.779986853171227,0.586264764557995
"66",39,0.852794107739583,0.787662268664157,0.565627342397994
"67",39.6,0.84990833719545,0.795030448625777,0.544152203989137
"68",40.2,0.846953507125437,0.8021033388208,0.521863831625763
"69",40.8,0.843927827185355,0.808892620061194,0.498799041284304
"70",41.4,0.840829465599909,0.81540968068184,0.475008358935389
"71",42,0.837656548958712,0.821665595176496,0.450557256259111
"72",42.6,0.834407162095666,0.827671108196872,0.425527155349235
"73",43.2,0.83107934806111,0.833436623193755,0.40001610078009
"74",43.8,0.827671108196872,0.838972195051632,0.374138990893103
"75",44.4,0.824180402325125,0.844287526136727,0.348027260626501
"76",45,0.820605149062769,0.849391965242075,0.3218279179032
"77",45.6,0.819107917143331,0.845003918300945,0.3218279179032
"78",46.2,0.817595840716757,0.84046008758103,0.3218279179032
"79",46.8,0.816068768491449,0.835754530547029,0.3218279179032
"80",47.4,0.814526548038794,0.830881109419922,0.3218279179032
"81",48,0.812969025803356,0.825833491244301,0.3218279179032
"82",48.6,0.811396047113975,0.820605149062769,0.3218279179032
